LHD1270G_S2_L001_R1_001.fastq.gz	M_carolinus_G_LHD1270_R1.fastq.gz
LHD1270G_S2_L001_R2_001.fastq.gz	M_carolinus_G_LHD1270_R2.fastq.gz
LHD1270L_S1_L001_R1_001.fastq.gz	M_carolinus_L_LHD1270_R1.fastq.gz
LHD1270L_S1_L001_R2_001.fastq.gz	M_carolinus_L_LHD1270_R2.fastq.gz
LHD1271G_S4_L001_R1_001.fastq.gz	D_pubescens_G_LHD1271_R1.fastq.gz
LHD1271G_S4_L001_R2_001.fastq.gz	D_pubescens_G_LHD1271_R2.fastq.gz
LHD1271L_S3_L001_R1_001.fastq.gz	D_pubescens_L_LHD1271_R1.fastq.gz
LHD1271L_S3_L001_R2_001.fastq.gz	D_pubescens_L_LHD1271_R2.fastq.gz
LHD1272G_S8_L001_R1_001.fastq.gz	B_bicolor_G_LHD1272_R1.fastq.gz
LHD1272G_S8_L001_R2_001.fastq.gz	B_bicolor_G_LHD1272_R2.fastq.gz
LHD1272L_S7_L001_R1_001.fastq.gz	B_bicolor_L_LHD1272_R1.fastq.gz
LHD1272L_S7_L001_R2_001.fastq.gz	B_bicolor_L_LHD1272_R2.fastq.gz
LHD1273G_S12_L001_R1_001.fastq.gz	D_pubescens_G_LHD1273_R1.fastq.gz
LHD1273G_S12_L001_R2_001.fastq.gz	D_pubescens_G_LHD1273_R2.fastq.gz
LHD1273L_S11_L001_R1_001.fastq.gz	D_pubescens_L_LHD1273_R1.fastq.gz
LHD1273L_S11_L001_R2_001.fastq.gz	D_pubescens_L_LHD1273_R2.fastq.gz
LHD1274G_S14_L001_R1_001.fastq.gz	M_carolinus_G_LHD1274_R1.fastq.gz
LHD1274G_S14_L001_R2_001.fastq.gz	M_carolinus_G_LHD1274_R2.fastq.gz
LHD1274L_S13_L001_R1_001.fastq.gz	M_carolinus_L_LHD1274_R1.fastq.gz
LHD1274L_S13_L001_R2_001.fastq.gz	M_carolinus_L_LHD1274_R2.fastq.gz
LHD1275G_S16_L001_R1_001.fastq.gz	M_carolinus_G_LHD1275_R1.fastq.gz
LHD1275G_S16_L001_R2_001.fastq.gz	M_carolinus_G_LHD1275_R2.fastq.gz
LHD1275L_S15_L001_R1_001.fastq.gz	M_carolinus_L_LHD1275_R1.fastq.gz
LHD1275L_S15_L001_R2_001.fastq.gz	M_carolinus_L_LHD1275_R2.fastq.gz
LHD1278G_S10_L001_R1_001.fastq.gz	D_pubescens_G_LHD1278_R1.fastq.gz
LHD1278G_S10_L001_R2_001.fastq.gz	D_pubescens_G_LHD1278_R2.fastq.gz
LHD1278L_S9_L001_R1_001.fastq.gz	D_pubescens_L_LHD1278_R1.fastq.gz
LHD1278L_S9_L001_R2_001.fastq.gz	D_pubescens_L_LHD1278_R2.fastq.gz
LHD1279G_S18_L001_R1_001.fastq.gz	B_bicolor_G_LHD1279_R1.fastq.gz
LHD1279G_S18_L001_R2_001.fastq.gz	B_bicolor_G_LHD1279_R2.fastq.gz
LHD1279L_S17_L001_R1_001.fastq.gz	B_bicolor_L_LHD1279_R1.fastq.gz
LHD1279L_S17_L001_R2_001.fastq.gz	B_bicolor_L_LHD1279_R2.fastq.gz
LHD1280G_S20_L001_R1_001.fastq.gz	B_bicolor_G_LHD1280_R1.fastq.gz
LHD1280G_S20_L001_R2_001.fastq.gz	B_bicolor_G_LHD1280_R2.fastq.gz
LHD1280L_S19_L001_R1_001.fastq.gz	B_bicolor_L_LHD1280_R1.fastq.gz
LHD1280L_S19_L001_R2_001.fastq.gz	B_bicolor_L_LHD1280_R2.fastq.gz
LHD1282G_S6_L001_R1_001.fastq.gz	D_pileatus_G_LHD1282_R1.fastq.gz
LHD1282G_S6_L001_R2_001.fastq.gz	D_pileatus_G_LHD1282_R2.fastq.gz
LHD1282L_S5_L001_R1_001.fastq.gz	D_pileatus_L_LHD1282_R1.fastq.gz
LHD1282L_S5_L001_R2_001.fastq.gz	D_pileatus_L_LHD1282_R2.fastq.gz
